,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1
2,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
3,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
4,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
5,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
6,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
7,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
8,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
9,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1
10,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1
11,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0
12,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0
13,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0
14,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1
15,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1
16,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0
17,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0
18,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0
19,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1
20,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0
21,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0
22,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0
23,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
24,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
25,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
26,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1
27,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1
28,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0
29,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0
30,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
31,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1
32,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0
33,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
34,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
35,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
36,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0
37,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1
38,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0
39,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1
40,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1
41,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0
42,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1
43,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1
44,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0
45,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0
46,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1
47,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0
48,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1
49,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1
50,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0
51,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0
52,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0
53,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0
54,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
55,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1
56,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
57,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
58,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1
59,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0
60,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
61,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1
62,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1
63,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1
64,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1
65,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1
66,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1
67,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1
68,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0
69,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0
70,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1
71,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
72,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
73,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1
74,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1
75,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
76,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0
